Latitude,Longitude,CD4  (/km^2)
,,>200 mm
40.1167,-162.9500,13.26
43.0667,-160.2667,3.12
38.0762,-152.3518,4.51
35.7733,-153.6367,10.59
37.8873,-149.5742,55.58
38.1875,-138.8018,2.75
32.4000,-150.9667,94.52
36.5500,-146.5000,11.40
36.1000,-142.9000,693.96
35.7000,-139.9500,15.18
36.0000,-136.1000,28.47
24.2500,-156.7833,12.46
30.5000,-150.4667,8.44
35.1833,-147.7000,8.67
33.7167,-139.4500,31.04
31.2552,-158.1222,43.78
31.6334,-156.0684,92.23
33.0571,-153.8981,42.18
32.9783,-154.1450,165.73
29.0717,-155.0567,8.16
30.0250,-155.0300,0.05
30.9867,-154.7700,40.19
30.9850,-154.2350,40.55
30.7750,-152.9033,11.29
30.6700,-152.4833,61.69
30.6667,-150.8850,115.32
30.9017,-150.4400,113.37
31.4900,-149.2467,179.02
31.9917,-148.9783,136.09
32.8967,-148.0717,288.76
33.2733,-147.6100,169.26
34.3983,-146.6683,91.82
34.7650,-146.3617,141.15
35.2250,-144.7883,46.38
35.3033,-144.2033,92.65
35.6000,-142.1350,36.34
35.4817,-141.5217,54.91
35.4183,-139.3850,55.25
35.4600,-138.7833,42.25
30.2500,-156.6000,9.13
30.5063,-156.3167,27.56
32.0333,-154.3833,77.11
33.0500,-151.5667,682.30
34.2513,-149.0040,460.82
35.6333,-146.8333,362.80
36.7833,-144.8167,206.51
38.5667,-142.1833,81.10
24.0219,-157.6883,6.49
27.7333,-157.1167,21.69
26.8867,-157.1617,6.65
29.6667,-157.1333,9.78
32.5083,-156.4917,33.46
31.8833,-156.7667,40.45
33.7975,-155.5469,19.39
34.3120,-155.3343,56.40
35.6339,-154.1437,7.53
36.1852,-153.2645,23.03
37.6891,-150.3047,17.97
37.1840,-151.1729,15.69
39.7213,-147.5733,29.12
39.1560,-148.2517,26.99
41.2205,-146.6097,35.46
41.6703,-146.3295,58.38
5.8980,85.0370,20.00
6.1880,87.2700,17.00
5.9500,85.5330,6.00
5.9220,85.2580,6.00
6.1980,87.3650,6.00
6.4900,92.0540,7.00
6.6130,90.7680,52.00
6.6300,90.5960,22.00
6.5060,92.3510,115.00
6.4970,92.2750,296.00
-32.8627,-72.7220,14.10
-30.8015,-90.8980,2.00
-30.0226,-94.4413,0.20
-29.4875,-96.5755,2.00
-28.5743,-99.8404,37.80
-28.1803,-101.0936,35.70
-27.8516,-102.1355,13.40
-26.4840,-105.4256,21.10
-26.6293,-106.5247,6.50
-27.4284,-108.8627,23.70
-27.6904,-107.9983,17.20
-28.7147,-104.5978,14.30
-29.0015,-103.5481,31.00
-29.1871,-102.8011,36.20
-30.0421,-99.3412,10.30
-30.3117,-98.1671,2.80
-30.4833,-97.2965,14.10
-31.3323,-92.9653,7.00
-31.4549,-92.1651,0.30
-39.6825,143.0513,4.76
-36.1124,136.3708,2.79
-35.1658,128.7305,2.62
-34.8472,124.5750,2.63
-35.0805,119.6786,9.57
-35.4067,116.3392,2.94
-17.6009,177.4351,68.18
-17.9528,177.1627,26.92
-18.2483,176.8459,7.89
42.9768,6.5611,1.96
43.1783,7.0104,1.96
43.2166,7.0478,3.93
43.3928,7.1651,3.93
43.4076,7.0842,7.86
43.3758,7.0368,5.89
43.3738,7.0925,3.93
43.3722,7.1514,7.86
43.3742,7.2676,5.89
43.3768,7.3375,3.93
43.3649,7.3069,1.96
43.3479,7.2387,1.96
43.3137,7.1019,3.93
43.3027,6.9248,3.93
43.5040,7.4613,25.54
43.4610,7.1332,1.96
43.4386,7.1908,1.96
43.4162,7.2492,3.93
43.3958,7.3050,3.93
43.3766,7.3600,1.96
43.3265,7.4256,3.93
43.3050,7.3760,7.86
43.2652,7.3481,19.65
43.2194,7.3680,11.79
43.1742,7.3873,5.89
43.1289,7.4073,1.96
43.0392,7.4493,5.89
42.9986,7.4472,3.93
42.9712,7.3914,1.96
42.9062,7.1523,5.89
42.9132,7.0773,3.93
42.9540,6.6971,13.75
42.8727,6.3134,7.86
42.8299,6.3317,5.89
42.7873,6.3521,1.96
42.7113,6.3663,13.75
42.7204,6.2448,9.82
42.7137,6.1843,23.58
42.7053,6.1234,19.65
42.7066,6.0727,5.89
42.7324,6.0058,1.96
42.7922,5.6725,3.93
42.7786,5.6068,3.93
42.8405,5.4115,1.96
42.8450,5.3446,1.96
42.8498,5.2777,3.93
42.6823,6.6507,5.89
42.6429,6.6922,5.89
42.6037,6.7353,9.82
42.5619,6.7852,7.86
42.5213,6.8333,3.93
42.3966,6.9111,3.93
42.3662,6.9605,17.68
42.3355,7.0105,19.65
42.4042,7.0723,1.96
42.4532,7.0880,3.93
42.5102,7.1122,3.93
42.5630,7.1300,1.96
43.3570,7.3208,3.93
43.3905,7.3559,5.89
43.4246,7.3911,5.89
43.4596,7.4270,7.86
43.4948,7.4633,5.89
43.5649,7.5454,1.96
43.5359,7.5852,1.96
43.5018,7.6253,1.96
43.4688,7.6655,21.61
43.4375,7.7083,5.89
43.4065,7.7559,7.86
43.3838,7.7373,7.86
